Year,Units,Zeitreihe,Gebiet,COMMENT_OBS_0,Geschlecht,COMMENT_OBS_1,Altersklasse,Bundesland,GeoCode,Value
2016,Prozent,b) Erhebliche materielle und soziale Deprivation,Europäische Union,,,,50 to 64 years,,,9.3
2017,Prozent,b) Erhebliche materielle und soziale Deprivation,Europäische Union,,,,50 to 64 years,,,8.1
2018,Prozent,b) Erhebliche materielle und soziale Deprivation,Europäische Union,,,,50 to 64 years,,,7.5
2019,Prozent,b) Erhebliche materielle und soziale Deprivation,Europäische Union,,,,50 to 64 years,,,7.5
2020,Prozent,b) Erhebliche materielle und soziale Deprivation,Europäische Union,,,,50 to 64 years,,,7.2
2021,Prozent,b) Erhebliche materielle und soziale Deprivation,Europäische Union,,,,50 to 64 years,,,6.8
2022,Prozent,b) Erhebliche materielle und soziale Deprivation,Europäische Union,,,,50 to 64 years,,,7.0
2023,Prozent,b) Erhebliche materielle und soziale Deprivation,Europäische Union,,,,50 to 64 years,,,7.3
2024,Prozent,b) Erhebliche materielle und soziale Deprivation,Europäische Union,,,,50 to 64 years,,,7.0
2025,Prozent,b) Erhebliche materielle und soziale Deprivation,Europäische Union,,,,50 to 64 years,,,6.8
2014,Prozent,b) Erhebliche materielle und soziale Deprivation,Europäische Union,.,,,65 years and older,,,
2015,Prozent,b) Erhebliche materielle und soziale Deprivation,Europäische Union,,,,65 years and older,,,6.6
2016,Prozent,b) Erhebliche materielle und soziale Deprivation,Europäische Union,,,,65 years and older,,,6.5
2017,Prozent,b) Erhebliche materielle und soziale Deprivation,Europäische Union,,,,65 years and older,,,6.1
2018,Prozent,b) Erhebliche materielle und soziale Deprivation,Europäische Union,,,,65 years and older,,,5.9
2019,Prozent,b) Erhebliche materielle und soziale Deprivation,Europäische Union,,,,65 years and older,,,6.5
2020,Prozent,b) Erhebliche materielle und soziale Deprivation,Europäische Union,,,,65 years and older,,,5.5
2021,Prozent,b) Erhebliche materielle und soziale Deprivation,Europäische Union,,,,65 years and older,,,5.3
2022,Prozent,b) Erhebliche materielle und soziale Deprivation,Europäische Union,,,,65 years and older,,,5.4
2023,Prozent,b) Erhebliche materielle und soziale Deprivation,Europäische Union,,,,65 years and older,,,5.5
2024,Prozent,b) Erhebliche materielle und soziale Deprivation,Europäische Union,,,,65 years and older,,,5.1
2025,Prozent,b) Erhebliche materielle und soziale Deprivation,Europäische Union,,,,65 years and older,,,4.9
