Year,Units,Zeitreihe,Gebiet,COMMENT_OBS_0,Geschlecht,COMMENT_OBS_1,Altersklasse,Bundesland,GeoCode,Value
2023,Prozent,a) Materielle und soziale Deprivation,Deutschland,,,,65 years and older,,,8.8
2024,Prozent,a) Materielle und soziale Deprivation,Deutschland,,,,65 years and older,,,8.1
2025,Prozent,a) Materielle und soziale Deprivation,Deutschland,,,,65 years and older,,,7.5
2014,Prozent,a) Materielle und soziale Deprivation,Europäische Union,,,,under 16 years,,,24.1
2015,Prozent,a) Materielle und soziale Deprivation,Europäische Union,,,,under 16 years,,,21.8
2016,Prozent,a) Materielle und soziale Deprivation,Europäische Union,,,,under 16 years,,,19.9
2017,Prozent,a) Materielle und soziale Deprivation,Europäische Union,,,,under 16 years,,,17.3
2018,Prozent,a) Materielle und soziale Deprivation,Europäische Union,,,,under 16 years,,,15.8
2019,Prozent,a) Materielle und soziale Deprivation,Europäische Union,,,,under 16 years,,,13.4
2020,Prozent,a) Materielle und soziale Deprivation,Europäische Union,,,,under 16 years,,,14.1
2021,Prozent,a) Materielle und soziale Deprivation,Europäische Union,,,,under 16 years,,,12.9
2022,Prozent,a) Materielle und soziale Deprivation,Europäische Union,,,,under 16 years,,,14.5
2023,Prozent,a) Materielle und soziale Deprivation,Europäische Union,,,,under 16 years,,,15.1
2024,Prozent,a) Materielle und soziale Deprivation,Europäische Union,,,,under 16 years,,,13.8
2025,Prozent,a) Materielle und soziale Deprivation,Europäische Union,,,,under 16 years,,,13.8
2014,Prozent,a) Materielle und soziale Deprivation,Europäische Union,,,,16 to 24 years,,,19.8
2015,Prozent,a) Materielle und soziale Deprivation,Europäische Union,,,,16 to 24 years,,,17.0
2016,Prozent,a) Materielle und soziale Deprivation,Europäische Union,,,,16 to 24 years,,,16.0
2017,Prozent,a) Materielle und soziale Deprivation,Europäische Union,,,,16 to 24 years,,,13.2
2018,Prozent,a) Materielle und soziale Deprivation,Europäische Union,,,,16 to 24 years,,,12.4
2019,Prozent,a) Materielle und soziale Deprivation,Europäische Union,,,,16 to 24 years,,,10.9
2020,Prozent,a) Materielle und soziale Deprivation,Europäische Union,,,,16 to 24 years,,,13.2
2021,Prozent,a) Materielle und soziale Deprivation,Europäische Union,,,,16 to 24 years,,,12.0
2022,Prozent,a) Materielle und soziale Deprivation,Europäische Union,,,,16 to 24 years,,,12.3
2023,Prozent,a) Materielle und soziale Deprivation,Europäische Union,,,,16 to 24 years,,,13.3
2024,Prozent,a) Materielle und soziale Deprivation,Europäische Union,,,,16 to 24 years,,,12.1
2025,Prozent,a) Materielle und soziale Deprivation,Europäische Union,,,,16 to 24 years,,,12.2
2014,Prozent,a) Materielle und soziale Deprivation,Europäische Union,,,,25 to 49 years,,,19.3
2015,Prozent,a) Materielle und soziale Deprivation,Europäische Union,,,,25 to 49 years,,,17.1
2016,Prozent,a) Materielle und soziale Deprivation,Europäische Union,,,,25 to 49 years,,,15.6
2017,Prozent,a) Materielle und soziale Deprivation,Europäische Union,,,,25 to 49 years,,,13.5
2018,Prozent,a) Materielle und soziale Deprivation,Europäische Union,,,,25 to 49 years,,,12.3
2019,Prozent,a) Materielle und soziale Deprivation,Europäische Union,,,,25 to 49 years,,,11.8
2020,Prozent,a) Materielle und soziale Deprivation,Europäische Union,,,,25 to 49 years,,,12.1
2021,Prozent,a) Materielle und soziale Deprivation,Europäische Union,,,,25 to 49 years,,,11.4
2022,Prozent,a) Materielle und soziale Deprivation,Europäische Union,,,,25 to 49 years,,,12.4
2023,Prozent,a) Materielle und soziale Deprivation,Europäische Union,,,,25 to 49 years,,,13.0
2024,Prozent,a) Materielle und soziale Deprivation,Europäische Union,,,,25 to 49 years,,,12.0
2025,Prozent,a) Materielle und soziale Deprivation,Europäische Union,,,,25 to 49 years,,,11.9
2014,Prozent,a) Materielle und soziale Deprivation,Europäische Union,,,,50 to 64 years,,,20.4
2015,Prozent,a) Materielle und soziale Deprivation,Europäische Union,,,,50 to 64 years,,,18.3
2016,Prozent,a) Materielle und soziale Deprivation,Europäische Union,,,,50 to 64 years,,,16.4
2017,Prozent,a) Materielle und soziale Deprivation,Europäische Union,,,,50 to 64 years,,,14.5
2018,Prozent,a) Materielle und soziale Deprivation,Europäische Union,,,,50 to 64 years,,,13.6
2019,Prozent,a) Materielle und soziale Deprivation,Europäische Union,,,,50 to 64 years,,,13.7
2020,Prozent,a) Materielle und soziale Deprivation,Europäische Union,,,,50 to 64 years,,,13.2
2021,Prozent,a) Materielle und soziale Deprivation,Europäische Union,,,,50 to 64 years,,,12.6
2022,Prozent,a) Materielle und soziale Deprivation,Europäische Union,,,,50 to 64 years,,,12.8
2023,Prozent,a) Materielle und soziale Deprivation,Europäische Union,,,,50 to 64 years,,,13.5
2024,Prozent,a) Materielle und soziale Deprivation,Europäische Union,,,,50 to 64 years,,,12.7
2025,Prozent,a) Materielle und soziale Deprivation,Europäische Union,,,,50 to 64 years,,,12.4
2014,Prozent,a) Materielle und soziale Deprivation,Europäische Union,,,,65 years and older,,,15.5
2015,Prozent,a) Materielle und soziale Deprivation,Europäische Union,,,,65 years and older,,,13.4
2016,Prozent,a) Materielle und soziale Deprivation,Europäische Union,,,,65 years and older,,,12.8
2017,Prozent,a) Materielle und soziale Deprivation,Europäische Union,,,,65 years and older,,,11.9
2018,Prozent,a) Materielle und soziale Deprivation,Europäische Union,,,,65 years and older,,,11.7
2019,Prozent,a) Materielle und soziale Deprivation,Europäische Union,,,,65 years and older,,,12.4
2020,Prozent,a) Materielle und soziale Deprivation,Europäische Union,,,,65 years and older,,,10.8
2021,Prozent,a) Materielle und soziale Deprivation,Europäische Union,,,,65 years and older,,,10.6
2022,Prozent,a) Materielle und soziale Deprivation,Europäische Union,,,,65 years and older,,,11.0
2023,Prozent,a) Materielle und soziale Deprivation,Europäische Union,,,,65 years and older,,,11.2
2024,Prozent,a) Materielle und soziale Deprivation,Europäische Union,,,,65 years and older,,,10.2
2025,Prozent,a) Materielle und soziale Deprivation,Europäische Union,,,,65 years and older,,,10.1
